목표 거리 : 100, 보폭 : 20
0: (x,y) = (0, 0)
1: (x,y) = (3.47296, 19.6962)
2: (x,y) = (-7.99857, 3.31311)
3: (x,y) = (-17.6948, -14.1793)
4: (x,y) = (-22.1938, 5.30812)
5: (x,y) = (-26.01, -14.3244)
6: (x,y) = (-13.1542, 0.996467)
7: (x,y) = (-2.55582, 17.9574)
8: (x,y) = (-22.5528, 17.6084)
9: (x,y) = (-13.473, 35.4285)
10: (x,y) = (-33.3634, 33.3379)
11: (x,y) = (-16.2201, 43.6387)
12: (x,y) = (-5.0362, 60.2195)
13: (x,y) = (-0.197761, 79.6254)
14: (x,y) = (10.695, 96.3988)
15걸음을 걸은 후 술고래의 위치:
15(x,y) = (7.22206, 116.095)
 또는
(m,a) = (116.319, 1.50867)
걸음당 기둥에서 벗어난 평균 거리 = 7.75462
목표 거리 : 200, 보폭 : 40
0: (x,y) = (0, 0)
1: (x,y) = (36.2523, 16.9047)
2: (x,y) = (17.4734, -18.4132)
3: (x,y) = (-20.5688, -6.05249)
4: (x,y) = (-49.823, -33.3324)
5: (x,y) = (-62.1836, 4.70983)
6: (x,y) = (-40.9869, -29.2121)
7: (x,y) = (-68.7732, -57.9857)
8: (x,y) = (-28.9923, -62.1668)
9: (x,y) = (-67.4428, -51.1413)
10: (x,y) = (-75.0752, -11.8762)
11: (x,y) = (-40.4341, -31.8762)
12: (x,y) = (-43.9204, 7.97155)
13: (x,y) = (-28.9361, -29.1158)
14: (x,y) = (-68.93, -28.4177)
15: (x,y) = (-86.4649, 7.53405)
16: (x,y) = (-54.1042, -15.9774)
17: (x,y) = (-61.7365, -55.2424)
18: (x,y) = (-90.9907, -82.5224)
19: (x,y) = (-81.9926, -43.5476)
20: (x,y) = (-104.936, -76.3137)
21: (x,y) = (-126.132, -42.3917)
22: (x,y) = (-86.1325, -42.3917)
23: (x,y) = (-70.5032, -79.2119)
24: (x,y) = (-48.1355, -112.373)
25: (x,y) = (-29.9759, -76.7332)
26: (x,y) = (9.53164, -82.9906)
27: (x,y) = (-26.1086, -101.15)
28: (x,y) = (-45.501, -66.1654)
29: (x,y) = (-29.8718, -29.3452)
30: (x,y) = (-34.0529, -69.1261)
31: (x,y) = (-35.4489, -29.1504)
32: (x,y) = (-3.0882, -52.6618)
33: (x,y) = (34.9541, -40.3012)
34: (x,y) = (23.9286, -78.7516)
35: (x,y) = (-15.7733, -83.6264)
36: (x,y) = (24.2024, -85.0224)
37: (x,y) = (-14.2481, -96.0479)
38: (x,y) = (-3.22262, -134.498)
39: (x,y) = (36.4792, -139.373)
40: (x,y) = (76.4792, -139.373)
41: (x,y) = (112.119, -121.213)
42: (x,y) = (73.4825, -131.566)
43: (x,y) = (69.3013, -91.7854)
44: (x,y) = (30.0362, -99.4177)
45: (x,y) = (68.8481, -89.7409)
46: (x,y) = (73.0292, -49.96)
47: (x,y) = (108.669, -31.8004)
48: (x,y) = (75.9034, -8.85731)
49: (x,y) = (100.53, -40.3777)
50: (x,y) = (90.1771, -1.74071)
51: (x,y) = (77.8164, -39.783)
52: (x,y) = (99.0132, -73.7049)
53: (x,y) = (88.6604, -35.0679)
54: (x,y) = (109.857, -1.14594)
55: (x,y) = (91.0783, 34.172)
56: (x,y) = (51.9524, 42.4884)
57: (x,y) = (78.1948, 72.6768)
58: (x,y) = (110.961, 49.7338)
59: (x,y) = (73.3731, 63.4146)
60: (x,y) = (112.638, 55.7822)
61: (x,y) = (86.3959, 25.5938)
62: (x,y) = (74.0352, -12.4484)
63: (x,y) = (101.315, -41.7026)
64: (x,y) = (81.3151, -7.06157)
65: (x,y) = (48.1536, 15.3061)
66: (x,y) = (87.1284, 24.3042)
67: (x,y) = (68.3496, 59.6221)
68: (x,y) = (35.1881, 37.2544)
69: (x,y) = (54.5804, 2.26959)
70: (x,y) = (92.8326, -9.42528)
71: (x,y) = (94.9261, 30.5199)
72: (x,y) = (56.8838, 18.1592)
73: (x,y) = (16.9082, 19.5552)
74: (x,y) = (39.8512, 52.3213)
75: (x,y) = (74.836, 71.7137)
76: (x,y) = (92.3709, 107.665)
77: (x,y) = (62.1825, 133.908)
78: (x,y) = (84.5502, 167.069)
79걸음을 걸은 후 술고래의 위치:
79(x,y) = (90.1171, 206.68)
 또는
(m,a) = (225.472, 1.15963)
걸음당 기둥에서 벗어난 평균 거리 = 2.85408
